"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050807","regulation of synapse organization","64/2039","309/28891",4.68014384478963e-15,2.48387997871653e-12,1.70814053818446e-12,"Adgrb3/Ngef/Fcgr2b/Ntng2/Rapgef4/Lrp4/Flrt3/Mfn1/Chrnb2/Negr1/Ptprd/Elavl2/Lrp8/Rims3/Clstn1/Wasl/Ptn/Ctnna2/Dctn1/Setd5/Lhfpl4/Clstn3/Ptpro/Abhd17c/Taok2/Shank2/Gpm6a/Adgre5/Vps35/Egln1/Hspa8/Nedd4/Camkv/Amigo3/Marcks/Camk2b/Actr2/Arhgap44/Myh10/Nlgn2/Asic2/Rps6ka5/Akt1/Ntrk2/Pik3r1/Nefl/Slitrk1/Farp1/Ywhaz/Asap1/Ptk2/Adgrb1/Shank3/Tuba1a/Ube2v2/Eif4g1/Opa1/Kalrn/App/Itsn1/Trem2/Nrxn1/Gpc4/Fmr1",64
"GO:1904951","positive regulation of establishment of protein localization","70/2039","362/28891",9.67218680990642e-15,4.60220182262347e-12,3.16489023845331e-12,"Acsl3/Capn10/Pdcd5-ps/Rapgef4/Prr5l/Zfand1/Pdcd10/Fbxw7/Cct3/Golph3l/Wls/Asph/Dmap1/Hpca/Atp13a2/Sri/Dynll1/Itpr1/Arrb1/Apbb1/Cd81/Gas6/Pcm1/Vps35/Ripor1/Nutf2/Atp2c1/Gja1/Ank3/Oaz1/Cct2/Lrp1/Xbp1/Ppia/Rack1/Kif3a/Myh10/Vamp2/Nlgn2/Ywhae/Doc2b/Myo18a/Prkar1a/Akap5/Hsp90aa1/Gpld1/Ice1/Pik3r1/Glud1/Oxct1/Golph3/Adcy8/Ptp4a3/Vps28/Pfkm/Abat/Mapk1/App/Cct8/Abcg1/Hsp90ab1/Trem2/Myom1/Kif5b/Rbm22/Ier3ip1/Tmem132a/Gnaq/Emd/Dkc1",70
"GO:0099173","postsynapse organization","56/2039","252/28891",1.02481369808333e-14,4.60220182262347e-12,3.16489023845331e-12,"Ngef/Fcgr2b/Ntng2/Rapgef4/Lrp4/Dgkz/Lama5/Mfn1/Glrb/Frrs1l/Ptprd/Dock7/Lrp8/Hip1r/Actb/Wasl/Ptn/Lhfpl4/Iqsec3/Stk38l/Shisa7/Shank1/Igf1r/Abhd17c/Dlg2/Taok2/Shank2/Cttn/Vps35/Mtmr2/Hspa8/Cadm1/Marcks/Zfp365/Camk2b/Actr2/Arhgap44/Myh10/Nlgn2/Crk/Rps6ka5/Akt1/Farp1/Ctnnd2/Asap1/Adgrb1/Nptxr/Shank3/Crkl/Opa1/Kalrn/App/Itsn1/Trem2/Nrxn1/Sorbs1",56
"GO:0072659","protein localization to plasma membrane","64/2039","315/28891",1.21600991476381e-14,5.07076134456508e-12,3.48711414654825e-12,"Acsl3/Stxbp1/Sys1/Lama5/Tnik/Rab13/Golph3l/Ank2/Scp2/Sesn2/Prkg2/Rilpl1/Actb/Cd81/Ppfia1/Gas6/Rab3a/Vps35/Rab3d/Myo5a/Atp1b3/Atp2c1/Stx7/Ank3/Palm/Lrp1/Camk2b/Sptbn1/Rack1/Arhgap44/Vamp2/Inpp5k/Flot2/Cltc/Stac2/Ramp2/Nsf/Nherf1/Gga3/Rab10/Akap5/Zdhhc22/Ttc7b/Akt1/Pacs2/Pik3r1/Golph3/Efr3a/Adcy6/Ap2m1/Dlg1/Zdhhc23/Nectin3/Arl6/Nherf2/Trem2/Nrxn1/Kif5b/Bbs1/Pacs1/Sorbs1/Zfyve27/Fgf13/Atp6ap1",64
"GO:0050821","protein stabilization","49/2039","202/28891",1.30667107213007e-14,5.08556381273024e-12,3.49729366252919e-12,"Stxbp1/Marchf7/Nckap1/Stk4/Naa15/Pfn2/Pdcd10/Fbxw7/Cct3/Ank2/Rpl11/Pink1/Park7/Per3/Msx1/Hip1r/Ptges3-ps/Aak1/Gapdh/Atf7ip/Apbb1/Lamp1/Calr/Swsap1/Tbrg1/Atp1b3/Cep63/Cct2/Ptges3/Flot2/Trim37/Usp36/Rps7/Hsp90aa1/Bag5/Gtpbp4/Ccnh/Pik3r1/Gapdhrt/Usp7/Dvl3/Cct8/Get1/Trim39/Hsp90ab1/Gnaq/Lamp2/Tbl1x/Taf9b",49
"GO:0050803","regulation of synapse structure or activity","64/2039","317/28891",1.66086035502324e-14,6.06006422039106e-12,4.1674482855649e-12,"Adgrb3/Ngef/Fcgr2b/Ntng2/Rapgef4/Lrp4/Flrt3/Mfn1/Chrnb2/Negr1/Ptprd/Elavl2/Lrp8/Rims3/Clstn1/Wasl/Ptn/Ctnna2/Dctn1/Setd5/Lhfpl4/Clstn3/Ptpro/Abhd17c/Taok2/Shank2/Gpm6a/Adgre5/Vps35/Egln1/Hspa8/Nedd4/Camkv/Amigo3/Marcks/Camk2b/Actr2/Arhgap44/Myh10/Nlgn2/Asic2/Rps6ka5/Akt1/Ntrk2/Pik3r1/Nefl/Slitrk1/Farp1/Ywhaz/Asap1/Ptk2/Adgrb1/Shank3/Tuba1a/Ube2v2/Eif4g1/Opa1/Kalrn/App/Itsn1/Trem2/Nrxn1/Gpc4/Fmr1",64
"GO:1901873","regulation of post-translational protein modification","61/2039","295/28891",2.20622340215701e-14,7.57643071870154e-12,5.21023904385562e-12,"Cul3/Hdac4/Cops9/Hspa5/Marchf7/Itch/Phf20/Dcun1d1/Fbxw7/Dnaja1/Rpl11/Pink1/Fbxo2/Park7/Isg15/Noc2l/Fgfr3/Dcun1d4/Prkcg/Hspbp1/Ube2s/Sae1/Rps3/Arrb1/Kat8/Otud4/Herpud1/Tcf25/Sprtn/Cep63/Usp4/Sash1/Pttg1ip/Xbp1/Ppia/Ubb/Nxn/Tada2a/Sumo2/Rps7/Fbxo33/Hsp90aa1/Bag5/Akt1/Gtpbp4/Ahrr/Mapk8/Adgrb1/Vps28/Kansl2/Mcrs1/Ube2v2/App/Rps2/Ube2i/Rbx1-ps/Epas1/Wbp1l/Xiap/Bex3/Huwe1",61
"GO:0008380","RNA splicing","79/2039","449/28891",4.11098832276148e-14,1.33333054601564e-11,9.16918682047503e-12,"Snrpe/Prdx6/Ildr2/Prpf18/Aqr/Rbm39/Prpf3/Larp7/Zranb2/Elavl4/Thrap3/Sfpq/Zbtb8os/Rsrp1/Srrm1/Supt7l/Ythdc1/Tfip11/Arl6ip4/Rbm28/Luc7l2/Tra2a/Hnrnpa2b1/Ppp4r2/Eif4a3l2/Wbp11/Tsen34/Snrpa/Hnrnpl/Snrpa1/Rps13/Rbmxl1/Sap18b/Sf3b3/Cwc15/Hspa8/Pcbp4/Usp4/Hnrnph3/Zbtb7a/Fxr2/Polr2a/Prpf8/Armc7/Srsf2/Rbfox3/Prpf39/Srsf5/Rnf113a2/Prpf4b/Ddx46/Habp4/Pik3r1/Mtrex/Hnrnpc/Eny2/Snu13/Ddx23/Rbfox1/Arvcf/Paxbp1/Son/Qki/Rnps1/Rrp1b/Dhx16/Cdc5l/Snrpd1/Celf4/Rbm22/Rbm4b/Sf3b2/Sart1/Gpkow/Akap17b/Fmr1/Fam50a/Nono/Hnrnph2",79
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","38/2039","133/28891",4.62125008576792e-14,1.41993989477438e-11,9.76479103995505e-12,"Rapgef4/Snap25/Tnik/Nbea/Frrs1l/Lpar1/Hpca/Clstn1/Usp46/Cplx1/Iqsec1/Lhfpl4/Ap2s1/Clptm1/Ap2a1/Dlg2/Caly/Ppfia1/Vps35/Nedd4/Myo6/Snap47/Arhgap44/Vamp2/Ywhae/Flot2/Akap5/Hsp90aa1/Erbin/Ctnnd2/Nptxr/Ap2m1/Sst/Dlg1/Kalrn/Lgi1/Gpc4/Slc9a6",38
"GO:0006091","generation of precursor metabolites and energy","82/2039","484/28891",1.14735901621405e-13,3.34914096832881e-11,2.3031722567581e-11,"Cox5b/Irs1/Hdac4/Atp5f1c/Ndufs3/Cat/Norad/Atp5f1e/Ppp1r3d/Ndufb5/Ndufc1/Ndufb6/Nr4a3/Aldoart1/Uqcrh/Pink1/Chchd2-ps/Eno1/Park7/Slc4a4/Atp5me/Ppp1cc/Nipsnap2/Atp5mf/Ndufa4/Ndufa5/Cycs/Suclg2/Eno2/Tpi1/Gapdh/Gabarapl1/Ndufa3/Fkrp/Ldha/Idh2/Tmem135/Uqcrc2/Aldoa/Sdhd/Pkm/Myo5a/Cox7a2/S100b/Zbtb7a/Ndufa12/Ptges3/Bloc1s1/Grb10/Vps54/Mdh1/Ppp2ca/Inpp5k/Acly/Galk1/Aldoart2/Ndufb1/Akt1/Pfkp/Prelid1/Ndufs6/Cox7c/Gapdhrt/Oxct1/Atpsckmt/Ndufb9/Pfkm/Ppp1r1a/Cox17/App/Sod2/Ndufb10/Antkmt/Ndufa2/Eno1b/Ndufs8/Cox8a/Sorbs1/Pgam1/Ndufa1/Pgk1/Pdha1",82
"GO:0072594","establishment of protein localization to organelle","78/2039","452/28891",1.7075520225966e-13,4.74699462281856e-11,3.26446286425236e-11,"Pdcd5-ps/Sec61a2/Pmpca/Hspa5/Atf2/Srp14/Chmp4b/Stk4/Kcnq2/Pkia/Pex5l/Fbxw7/Cct3/Dnaja1/Dmap1/Kpna6/Pink1/Pmpcb/Srp72/Cabp1/Pex26/Rasl2-9/Nup62/Spcs2/Lamp1/Tnpo2/Herpud1/Nutf2/Mon1b/Timm29/Hspa8/Snupn/Nedd4/Sec63/Pam16l/Pttg1ip/Fbxo7/Cct2/Nabp2/Xbp1/Vps54/Pex13/Srebf1/Trim37/Kpnb1/Becn1/Gga3/Wbp2/Hgs/Rab10/Nfkbia/Akap5/Hsp90aa1/Akt1/Ryr2/E2f3/Pik3r1/Timm23/Nipbl/Ywhaz/Kcnq3/Vps28/Samm50/Nup50/Mapk1/Apod/Cct8/Get1/Hsp90ab1/Pot1b/Nutf2-ps2/Rbm22/Timm17b/Lamp2/Aifm1/Ubl4a/Dkc1/Arxes2",78
"GO:0099003","vesicle-mediated transport in synapse","56/2039","270/28891",2.22914780511614e-13,5.91534767557638e-11,4.06792809986266e-11,"Atp6v1h/Rims1/Cacna1e/Dnm1/Stxbp1/Rapgef4/Snap25/Pfn2/Syt11/Lpar1/Rims3/Hpca/Clstn1/Ctbp1/Usp46/Cplx1/Atp2a2/Actb/Aak1/Iqsec1/Syn2/Atp6v1e1/Prkcg/Syt5/Ap2s1/Ap2a1/Caly/Rab3a/Vps35/Nedd4/Unc13c/Myo6/Cspg5/Stxbp5/Syt1/Snap47/Vamp2/Nlgn2/Doc2b/Cltc/Actg1/Akap5/Atp6v1c1/Slc4a8/Ap2m1/Stxbp5l/Atp6v1a/Itsn1/Synj2/Tbc1d24/Atp6v1g2/Nrxn1/Bin1/Syp/Fmr1/Atp6ap1",56
"GO:1903320","regulation of protein modification by small protein conjugation or removal","53/2039","249/28891",3.30097628848518e-13,8.37873894442455e-11,5.76197874795536e-11,"Cul3/Hdac4/Cops9/Hspa5/Marchf7/Itch/Dcun1d1/Fbxw7/Dnaja1/Rpl11/Pink1/Fbxo2/Park7/Isg15/Fgfr3/Dcun1d4/Prkcg/Hspbp1/Ube2s/Sae1/Rps3/Arrb1/Otud4/Herpud1/Tcf25/Sprtn/Cep63/Usp4/Sash1/Pttg1ip/Ppia/Ubb/Nxn/Sumo2/Rps7/Fbxo33/Hsp90aa1/Bag5/Akt1/Gtpbp4/Ahrr/Mapk8/Adgrb1/Vps28/Ube2v2/Rps2/Ube2i/Rbx1-ps/Epas1/Wbp1l/Xiap/Bex3/Huwe1",53
"GO:0051222","positive regulation of protein transport","65/2039","346/28891",3.48499244268862e-13,8.47724411684006e-11,5.82971981421684e-11,"Acsl3/Capn10/Pdcd5-ps/Rapgef4/Prr5l/Zfand1/Pdcd10/Fbxw7/Golph3l/Wls/Asph/Dmap1/Hpca/Atp13a2/Sri/Dynll1/Itpr1/Arrb1/Apbb1/Cd81/Gas6/Pcm1/Vps35/Ripor1/Nutf2/Atp2c1/Gja1/Ank3/Oaz1/Lrp1/Xbp1/Ppia/Rack1/Kif3a/Myh10/Vamp2/Nlgn2/Ywhae/Doc2b/Myo18a/Prkar1a/Akap5/Hsp90aa1/Gpld1/Ice1/Pik3r1/Glud1/Oxct1/Golph3/Adcy8/Vps28/Pfkm/Abat/Mapk1/App/Abcg1/Hsp90ab1/Trem2/Myom1/Kif5b/Rbm22/Ier3ip1/Tmem132a/Gnaq/Emd",65
"GO:0032386","regulation of intracellular transport","64/2039","346/28891",1.09027733527608e-12,2.54601563333671e-10,1.7508706344181e-10,"Map2/Sp100/Capn10/Pdcd5-ps/Ptpn14/Prr5l/Pkia/Zfand1/Pdcd10/Fbxw7/Trim46/Asph/Scp2/Dmap1/Hpca/Pink1/Atp13a2/Park7/Rint1/Insig1/Cabp1/Ppp1cc/Nup62/Svip/Caly/Cd81/Lamp1/Gas6/Pcm1/Use1/Vps35/Ripor1/Nutf2/Mtmr2/Vps11/Nedd4/Ank3/Oaz1/Os9/Xbp1/Septin8/Kif3a/Srebf1/Arhgap44/Vamp2/Inpp5k/Ywhae/Spag5/Eipr1/Akap5/Hsp90aa1/Ice1/Pik3r1/Mapk8/Mlc1/Usp7/Mapk1/Apod/Rab11b/Hsp90ab1/Kif5b/Rbm22/Emd/Gdi1",64
"GO:0006605","protein targeting","58/2039","303/28891",2.88665075817802e-12,6.48164120240126e-10,4.45736274967246e-10,"Trak2/Pikfyve/Pdcd5-ps/Sec61a2/Pmpca/Hspa5/Srp14/Chmp4b/Pex5l/Nbea/Fbxw7/Gbp5/Hpca/Rpl11/Pink1/Pmpcb/Srp72/Ywhag/Pex26/Spcs2/Herpud1/Mon1b/Timm29/Hspa8/Nedd4/Myo6/Trak1/Sec63/Pam16l/Ank3/Fbxo7/Os9/Vps54/Pex13/Srebf1/Inpp5k/Ywhae/Trim37/Cacnb1/Becn1/Gga3/Hgs/Ywhaq/Zdhhc22/Hsp90aa1/Erbin/Timm23/Ywhaz/Kcnq3/Samm50/Zdhhc23/Get1/Timm17b/Lamp2/Aifm1/Gdi1/Ubl4a/Arxes2",58
"GO:0006164","purine nucleotide biosynthetic process","49/2039","233/28891",4.06891636976332e-12,8.79790139506601e-10,6.05023276190148e-10,"Atp5f1c/Ndufs3/Pdhx/Acss1/Atp5f1e/Ndufb5/Ndufc1/Gucy1b1/Ndufb6/Npr2/Hpca/Eno1/Nos3/Atp5me/Nos1/Atp5mf/Ndufa5/Impdh1/Ndufa3/Idh2/Aldoa/Ldhd/Sdhd/Ndufa12/Adcy1/Acsl6/Pfas/Acly/Prps1l3/Ndufb1/Ndufs6/Slc4a7/Adk/Atpsckmt/Ndufb9/Adcy8/Adcy6/Adcy9/Adcy5/Gart/Ndufb10/Antkmt/Trem2/Ndufa2/Eno1b/Ndufs8/Pank1/Ndufa1/Pdha1",49
"GO:0051098","regulation of binding","69/2039","405/28891",7.81085250029968e-12,1.62856274631248e-09,1.11994704647154e-09,"Map2/Sp100/Hdac4/Ralb/Nucks1/Gpsm1/Golga2/Traf6/Ckmt1/Ddrgk1/Cpne1/Stk4/Fbxw7/Pygo2/Pbxip1/Larp7/Gtf2b/Zmpste24/Epb41/Rpl11/Eno1/Park7/Ski/Sri/Lrpap1/Msx1/Tfip11/Atp2a2/Hip1r/Actb/Hipk2/Ephb6/Cycs/Eif4a3l2/Sympk/Rgma/Arrb1/Spon1/Amfr/Psme3ip1/Ripor1/Map1lc3b/Cdon/Nphp3/Sumo3/Dot1l/Zbtb7a/Lrp1/Tns3/Rack1/Atp2a3/Crk/Ramp2/Hdac5/Akt1/Gtpbp4/Habp4/Mapk8/Dzip1/Eif3d/Ercc4/Eif4g1/App/Brd4/Hsp90ab1/Csnk1a1/Pacs1/Tmem132a/Fmr1",69
"GO:0009306","protein secretion","72/2039","434/28891",1.00460145402054e-11,2.02236665123169e-09,1.39076223072027e-09,"Map4k4/Klf7/Irs1/Capn10/Cacna1e/Ildr2/Acvr1c/Rapgef4/Fbn1/Snap25/Myt1/Rab13/Golph3l/Ensa/Stxbp3/Wls/Atp13a2/Park7/Sri/Clock/Cplx1/Dynll1/Nos1/Ap1s1/Rab11fip5/Itpr1/Raf1/Clstn3/Idh2/Arrb1/Apbb1/Pde3b/Brsk2/Rab3a/Vps35/Rab3d/Myo5a/Stxbp5/Gja1/Lrp1/Ppia/Srebf1/Llgl1/Myh10/Nlgn2/Doc2b/Myo18a/Prkar1a/Eipr1/Akap5/Lyst/Gpld1/Glud1/Oxct1/Golph3/Eny2/Adcy8/Pfkm/Slc4a8/Abat/Adcy5/Stxbp5l/Abcg1/Rab11b/Trem2/Myom1/Kif5b/Slc12a2/Ier3ip1/Tmem132a/Gnaq/Hps1",72
"GO:0035592","establishment of protein localization to extracellular region","72/2039","435/28891",1.12242990569444e-11,2.18424859648138e-09,1.5020868983574e-09,"Map4k4/Klf7/Irs1/Capn10/Cacna1e/Ildr2/Acvr1c/Rapgef4/Fbn1/Snap25/Myt1/Rab13/Golph3l/Ensa/Stxbp3/Wls/Atp13a2/Park7/Sri/Clock/Cplx1/Dynll1/Nos1/Ap1s1/Rab11fip5/Itpr1/Raf1/Clstn3/Idh2/Arrb1/Apbb1/Pde3b/Brsk2/Rab3a/Vps35/Rab3d/Myo5a/Stxbp5/Gja1/Lrp1/Ppia/Srebf1/Llgl1/Myh10/Nlgn2/Doc2b/Myo18a/Prkar1a/Eipr1/Akap5/Lyst/Gpld1/Glud1/Oxct1/Golph3/Eny2/Adcy8/Pfkm/Slc4a8/Abat/Adcy5/Stxbp5l/Abcg1/Rab11b/Trem2/Myom1/Kif5b/Slc12a2/Ier3ip1/Tmem132a/Gnaq/Hps1",72
"GO:0051962","positive regulation of nervous system development","67/2039","391/28891",1.20218134297579e-11,2.26397892912666e-09,1.55691668662467e-09,"Adgrb3/Golga2/Flrt3/Cdh4/Tnik/Mfn1/Bcan/Wls/Trim32/Ptprd/Lrp8/Nrdc/Clstn1/Fbxw8/Ppp1cc/Ptprz1/Plxna4/Ptn/Clstn3/Megf8/Mag/Tenm4/Star/Hapln4/Adgre5/Cx3cl1/Ist1/Arhgap32/Cdon/Sema7a/Trf/Amigo3/Plxnb1/Cx3cr1/Trak1/Marcks/Zfp365/Lrp1/Camk2b/Actr2/Nlgn2/Asic2/Akap5/Atxn1/Id4/Ntrk2/Pik3r1/Mapk8/Nefl/Slitrk1/Ptk2/Adgrb1/Shank3/Ube2v2/Opa1/Kalrn/Qki/Tbc1d24/Srf/Nrxn1/Bin1/Myrf/Zfyve27/Shtn1/Fmr1/Gdi1/Plxna3",67
