"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019905","syntaxin binding","23/2017","77/28407",1.92718875358304e-09,1.90270243622902e-07,1.26078984037355e-07,"Sptan1/Golga2/Stxbp1/Syt13/Snap25/Stx16/Stxbp3/Cplx1/Syt5/Stxbp2/Vps11/Unc13c/Myo5a/Stxbp5/Stx7/Syt1/Vps54/Snap47/Vamp2/Doc2b/Nsf/Stxbp5l/Syp",23
"GO:0051020","GTPase binding","56/2017","337/28407",2.28016013247296e-09,1.90270243622902e-07,1.26078984037355e-07,"Rims1/Atg16l1/Fmnl2/Rapgef4/Nckap1/Pex5l/Dock7/Rims3/Eno1/Gnb1/Rilpl1/Gnb2/Dgki/Adcyap1r1/Rab11fip5/Rbsn/Raf1/Ppp6r1/Kctd13/Dock1/Tnpo2/Nutf2/Myo5a/Dock3/Mical1/Xpot/Rnf41/Sptbn1/Kif3a/Gria1/Llgl1/Arhgap44/Sgsm2/Kpnb1/Becn1/Nsf/Cdc42ep4/Gga3/Dock4/Daam1/Hsp90aa1/Bicd2/Farp1/Cyrib/Dvl3/Sod1/Daam2/Pot1b/Nutf2-ps2/Bin1/Eno1b/Ric1/Wdr44/Atp6ap1/Gdi1/Rragb",56
"GO:0030695","GTPase regulator activity","66/2017","429/28407",2.33870360906112e-09,1.90270243622902e-07,1.26078984037355e-07,"Prex2/Adgrb3/Arhgef4/Eef1b2/Ngef/Agap1/Arhgap21/Gpsm1/Rapgef4/Chn1/Sirpa/Prex1/Dennd4b/Gbp5/Dock7/Sesn2/Arhgef10l/Arhgef19/Tbc1d14/Arap2/Rasal1/Adap1/Dgki/Iqsec1/Iqsec3/Arhgap35/Cyth2/Arrb1/Dock1/Mcf2l/Arhgef10/Arhgap32/Dock3/Stxbp5/Arhgef25/Arhgap9/Tns3/Tbc1d9b/Llgl1/Arhgap44/Rap1gap2/Sgsm2/Rgs9/Grb2/Cyth1/Tbc1d16/Dock4/Arhgap5/Rapgef5/Rasgrf2/Wdr41/Arhgef28/Sh3bp5/Farp1/Asap1/Prr5/Kalrn/Stxbp5l/Itsn1/Tbc1d24/Tbc1d22b/Gnaq/Ric1/Hps1/Arhgap4/Gdi1",66
"GO:0060589","nucleoside-triphosphatase regulator activity","66/2017","429/28407",2.33870360906112e-09,1.90270243622902e-07,1.26078984037355e-07,"Prex2/Adgrb3/Arhgef4/Eef1b2/Ngef/Agap1/Arhgap21/Gpsm1/Rapgef4/Chn1/Sirpa/Prex1/Dennd4b/Gbp5/Dock7/Sesn2/Arhgef10l/Arhgef19/Tbc1d14/Arap2/Rasal1/Adap1/Dgki/Iqsec1/Iqsec3/Arhgap35/Cyth2/Arrb1/Dock1/Mcf2l/Arhgef10/Arhgap32/Dock3/Stxbp5/Arhgef25/Arhgap9/Tns3/Tbc1d9b/Llgl1/Arhgap44/Rap1gap2/Sgsm2/Rgs9/Grb2/Cyth1/Tbc1d16/Dock4/Arhgap5/Rapgef5/Rasgrf2/Wdr41/Arhgef28/Sh3bp5/Farp1/Asap1/Prr5/Kalrn/Stxbp5l/Itsn1/Tbc1d24/Tbc1d22b/Gnaq/Ric1/Hps1/Arhgap4/Gdi1",66
"GO:0030159","signaling receptor complex adaptor activity","16/2017","39/28407",3.08362536406474e-09,2.34149952644649e-07,1.55155044633994e-07,"Irs1/Gnb4/Shb/Gnb1/Sh2b3/Gnb2/Shank1/Nup62/Gab2/Shank2/Grb10/Crk/Spag9/Grb2/Shank3/Sorbs1",16
"GO:0019829","ATPase-coupled monoatomic cation transmembrane transporter activity","19/2017","57/28407",6.39130969664105e-09,4.52073782772134e-07,2.99558155582108e-07,"Atp6v1h/Atp1a4/Atp5f1e/Atp1a1/Atp13a2/Atp2a2/Atp6v1e1/Atp1a3/Atp13a1/Atp1b3/Atp2c1/Atp2b1/Atp2a3/Atp6v1c1/Atp13a4/Atp13a3/Atp6v1a/Atp6v0c/Atp6v1g2",19
"GO:0017124","SH3 domain binding","30/2017","130/28407",6.74736989212141e-09,4.52073782772134e-07,2.99558155582108e-07,"Rims1/Lancl1/Enah/Abi1/Dnm1/Sirpa/Elmo2/Afap1/Hip1r/Vasp/Shank1/Inppl1/Dock1/Shank2/Dock3/Reps1/Mical1/Gja1/Ccdc6/Plscr3/Crk/Grb2/Dock4/Akap5/Sh3bp5/Shank3/Synj2/Qki/Ostf1/Sh3bgrl",30
"GO:0004674","protein serine/threonine kinase activity","66/2017","441/28407",7.2183327316965e-09,4.56760054522351e-07,3.02663425065871e-07,"Map4k4/Pikfyve/Speg/Cdc42bpa/Acvr1c/Stk39/Tlk1/Pak6/Top1/Stk4/Tnik/Dclk2/Map3k7/Mast2/Pink1/Bmp2k/Prkg2/Grk3/Lmtk2/Hipk2/Aak1/Raf1/Stk38l/Prkcg/Lmtk3/Lrrk1/Sbk1/Taok2/Brsk2/Csnk2a2/Pskh1/Ulk3/Pkm/Pik3cb/Camkv/Cdk19/Tbk1/Camk2b/Camkk1/Taok1/Map3k3/Map4k5/Rps6ka5/Akt1/Prpf4b/Wnk2/Ccnh/Mast4/Nim1k/Mapk8/Nrbp2/Map3k12/Mapk1/Tnk2/Kalrn/Pkmyt1/Sik1/Brd4/Riok3/Map3k2/Csnk1a1/Rps6kb2/Grk2/Map4k2/Chuk/Slk",66
"GO:0017075","syntaxin-1 binding","12/2017","23/28407",1.02755604042928e-08,6.15992805288918e-07,4.08176000547252e-07,"Stxbp1/Snap25/Stxbp3/Cplx1/Stxbp2/Unc13c/Myo5a/Stxbp5/Syt1/Vamp2/Nsf/Syp",12
"GO:0003779","actin binding","66/2017","448/28407",1.3563762512765e-08,7.59958972899344e-07,5.0357246298122e-07,"Map2/Rcsd1/Fmn2/Enah/Nebl/Sptan1/Fmnl2/Cobll1/Itprid2/Vps16/Phactr3/Pfn2/Fkbp15/Hpca/Epb41/Nos3/Ywhah/Afap1/Limch1/Hip1r/Wasl/Tmsb10/Ctnna2/Stk38l/Vasp/Myo7a/Inppl1/Cttn/Cotl1/Myo5a/Tmod2/Myo6/Syne1/Utrn/Epb41l2/Marcks/Mical1/Actr2/Sptbn1/Myh10/Ssh2/Myo18a/Wipf2/Tns4/P4hb/Daam1/Akap5/Vash1/Clmn/Phactr1/Tpm3-rs7/Myo10/Adcy8/Ptk2/Shank3/Twf1/Tagln3/Daam2/Bin1/Ssh3/Add3/Ablim1/Shtn1/Emd/Shroom2/Tmsb4x",66
"GO:0051219","phosphoprotein binding","27/2017","112/28407",1.40115350578457e-08,7.59958972899344e-07,5.0357246298122e-07,"Irs1/Sirpa/Fbxw7/Shb/Thrap3/Epb41/Pkd2/Nos1/Ywhag/Fkbp4/Arrb1/Pde3b/Nedd4/Leo1/Lrp11/Tbk1/Grb10/Crk/Ywhae/Cacnb1/Grb2/Pik3r1/Ywhaz/Mapk1/Crkl/Csnk1a1/Bbs1",27
"GO:0003713","transcription coactivator activity","46/2017","265/28407",1.52306256564414e-08,7.88531028303942e-07,5.22505195964999e-07,"Nucks1/Pbxip1/Rnf20/Trim32/Kdm4c/Thrap3/Park7/Kmt2e/Supt7l/Ctbp1/Slc30a9/Hipk2/Xpc/Tmf1/Ing4/Arrb1/Trim12a/Kat8/Kat6a/Tacc1/Med17/Bcl9l/Pkm/Ss18l2/Prmt2/Dot1l/Sertad2/Tada2a/Trim37/Wbp2/Zmiz1/Mtdh/Eny2/Tcf20/Kmt2d/Setd4/Rrp1b/Brd4/Nr3c1/Ppargc1b/Smarca2/Trim8/Sfr1/Rap2c/Maged1/Med12",46
"GO:0140358","P-type transmembrane transporter activity","14/2017","33/28407",1.78812029157112e-08,8.85508266130222e-07,5.86765331375971e-07,"Atp1a4/Atp5f1e/Atp1a1/Atp13a2/Atp2a2/Atp1a3/Atp13a1/Atp1b3/Atp2c1/Atp2b1/Atp2a3/Atp13a4/Atp13a3/Atp6v0c",14
"GO:0097110","scaffold protein binding","23/2017","89/28407",4.05038507722387e-08,1.92224525123249e-06,1.27373951770593e-06,"Lrp4/Gria2/Map3k7/Dlgap3/Park7/Nos3/Dynll1/Nos1/Shank1/Gja1/Gria1/Crk/Ywhae/Akap5/Hsp90aa1/Ryr2/Shank3/Adcy6/Adcy5/Trem2/Grk2/Chuk/Xiap",23
"GO:0046873","metal ion transmembrane transporter activity","63/2017","437/28407",6.49253658156876e-08,2.95799966656273e-06,1.96006262273044e-06,"Slc39a10/Slc41a1/Cacna1e/Atp1a4/Kcnj10/Kcnk2/Kcnj3/Scn3a/Itgav/Kcna4/Slc30a4/Slc20a1/Slc23a2/Snap25/Slc24a3/Kcnq2/Gria2/Atp1a1/Kcna2/Kcnc4/Grin3a/Cacna2d1/Slc30a9/Slc4a4/Pkd2/Atp2a2/Orai2/Kcnd2/Trpv6/Itpr1/Slc6a11/Slc6a1/Cacna2d4/Atp1a3/Grin2d/Gpm6a/Kcng4/Grik4/Atp1b3/Atp2c1/Slc38a3/Atp2b1/Kcnip1/Atp2a3/Asic2/Cacnb1/Kcnj16/Slc39a11/Kcnf1/Ryr2/Hcn1/Slc4a7/Cacna2d3/Kcnq3/Kcnk9/Slc4a8/Scn8a/Atp13a4/Slc39a6/Slc12a2/Kcnip2/Cnnm2/Slc9a6",63
"GO:0019894","kinesin binding","17/2017","53/28407",7.60982318159129e-08,3.33368792455095e-06,2.20900535271294e-06,"Trak2/Kcna2/Lrp8/Plekhm2/Clstn1/Actb/Clstn3/Nup62/Arhgef10/Kif3a/Spag9/Kpnb1/Klc1/Mapk8/Dlg1/Klc2/Shtn1",17
"GO:0042626","ATPase-coupled transmembrane transporter activity","25/2017","108/28407",1.1173262808231e-07,4.71346160687965e-06,3.12328632885053e-06,"Atp6v1h/Atp1a4/Atp5f1e/Atp1a1/Abcd3/Atp13a2/Atp2a2/Atp6v1e1/Atp1a3/Atp13a1/Abcg4/Atp1b3/Atp2c1/Atp2b1/Atp2a3/Abcc3/Abca5/Abcd4/Atp6v1c1/Atp13a4/Atp13a3/Atp6v1a/Atp6v0c/Abcg1/Atp6v1g2",25
"GO:0035091","phosphatidylinositol binding","47/2017","294/28407",1.42759857240678e-07,5.80726704989759e-06,3.8480758511867e-06,"Amer3/Plekhb2/Rcsd1/Pfn2/Golph3l/Epb41/Atp13a2/Arap2/Exoc1/Pitpnb/Hip1r/Adap1/Itpr1/Tulp3/Syt5/Gab2/Inppl1/Osbpl5/Mcf2l/Snx25/Arhgap32/Tnfaip8l3/Plcd1/Clvs2/Eea1/Syt1/Arhgap9/Pitpna/Pitpnc1/Wipi1/Gga3/Exoc7/Hgs/Wdr45b/Akt1/Snx18/Hcn1/Amer2/Golph3/Myo10/Vps13b/Asap1/Twf1/Snx29/Pitpnm1/Atg2a/Apba1",47
"GO:0035591","signaling adaptor activity","22/2017","88/28407",1.50245659226266e-07,5.90102778823162e-06,3.91020463394674e-06,"Irs1/Abi1/Gnb4/Shb/Gnb1/Sh2b3/Gnb2/Shank1/Nup62/Gab2/Shank2/Grb10/Rack1/Crk/Sarm1/Spag9/Grb2/Shank3/Crkl/Sorbs1/Lamp2/Fmr1",22
"GO:0019843","rRNA binding","20/2017","75/28407",1.74866273527709e-07,6.6390895182687e-06,4.39926730243395e-06,"Rpl7/Rpl11/Rpl9/Rpl37rt/Rplp0/Emg1/Rps5/Lipe/Rps11/Rps3/Rps13/Rpl23a/Rpl37/Brix1/Rpl8/Nol12/Rps18/Mrps18a/Rpl17/Tlr13",20
"GO:0030971","receptor tyrosine kinase binding","21/2017","82/28407",1.84070305251414e-07,6.76309928004389e-06,4.48144002938078e-06,"Irs1/Ptpn14/Lrp4/Elmo2/Map3k7/Sh2b3/Ywhag/Fiz1/Cadm4/Gab2/Gas6/Rnf41/Rack1/Crk/Grb2/Dock4/Ntrk2/Pik3r1/Crkl/Nr3c1/Pitpnm1",21
"GO:0015399","primary active transmembrane transporter activity","29/2017","142/28407",2.0532850321572e-07,7.30841141133453e-06,4.84278081597603e-06,"Atp6v1h/Atp1a4/Ndufs3/Atp5f1e/Atp1a1/Abcd3/Uqcrh/Atp13a2/Atp2a2/Atp6v1e1/Atp1a3/Atp13a1/Abcg4/Atp1b3/Atp2c1/Atp2b1/Atp2a3/Abcc3/Abca5/Abcd4/Atp6v1c1/Atp13a4/Atp13a3/Atp6v1a/Atp6v0c/Abcg1/Atp6v1g2/Ndufa2/Ndufs8",29
"GO:0003729","mRNA binding","56/2017","386/28407",2.77958715991013e-07,9.09338048472385e-06,6.02555686663925e-06,"Rpl7/Hdlbp/Tsn/Rps6-ps4/Aqr/Secisbp2l/Mir124-2hg/Rps3a1/Larp7/Cryz/Rnf20/Elavl4/Park7/Slbp/Ythdc1/G3bp2/Msi1/Luc7l2/Hnrnpa2b1/Eif4a3l2/Ybx3/Rps5/Samd4b/Hnrnpl/Pcf11/Rps3/Rps13/Upf3a/Calr/Ddx6/Pkm/Eef1a1/Pcbp4/Cpeb4/Myh10/Fxr2/Msi2/Rbfox3/Rps7/Hsp90aa1/Samd4/Hnrnpc/Mrpl13/Eif3d/Rbfox1/Eif4g1/Qki/Rnps1/Rps2/Zfp36l2/Celf4/Cpsf7/Cstf2t/Upf3b/Fmr1/Cstf2",56
"GO:0031072","heat shock protein binding","30/2017","152/28407",2.79383875521878e-07,9.09338048472385e-06,6.02555686663925e-06,"Npas2/Hspa5/Fkbp1a/Gucy1b1/Dnaja1/Dnajc8/Eno1/Nos3/Gpr37/Ptges3-ps/Fkbp4/Nup62/Rps3/Hspa8/Dnajb12/Ptges3/Cltc/Kpnb1/Nfkbia/Ahsa1/Mettl22/Fkbp5/Hspa1b/Hspa1a/Hsp90ab1/Fgf1/Nr3c1/Eno1b/Slc12a2/Stip1",30
"GO:0017022","myosin binding","20/2017","77/28407",2.79427846326018e-07,9.09338048472385e-06,6.02555686663925e-06,"Trak2/Rab14/Snap25/Trim32/Limch1/Lmtk2/Axl/Rab3a/Rab3d/Trak1/Stxbp5/Vezt/Gria1/Llgl1/Vamp2/Taok1/Nherf1/Rab10/Stxbp5l/Rab11b",20
"GO:0005516","calmodulin binding","35/2017","195/28407",3.37655149279682e-07,1.06830337508211e-05,7.07891058577579e-06,"Map2/Sptan1/Scn3a/Kcnq2/Ndufaf4/Epb41/Ubr4/Nos3/Nos1/Trpv6/Myo7a/Unc13c/Myo5a/Eef1a1/Myo6/Camkv/Arpp21/Marcks/Atp2b1/Syt1/Camk2b/Adcy1/Sptbn1/Myh10/Vamp2/Camkk1/Akap5/Akt1/Ryr2/Rasgrf2/Pik3r1/Myo10/Adcy8/Kcnq3/Add3",35
"GO:0140993","histone modifying activity","35/2017","196/28407",3.8334648559993e-07,1.18008553269816e-05,7.81961394523896e-06,"Hdac4/Smyd3/Gtf3c4/Mettl8/Hat1/Atf2/Gtf2b/Map3k7/Rnf20/Kdm4c/Eya3/Clock/Setd1b/Smyd5/Setd5/Ing4/Prmt8/Kat8/Kat6a/Prmt2/Dot1l/Kdm6b/Tada2a/Trim37/Hdac5/Rps6ka5/Bap1/Kmt2d/Rnf168/N6amt1/Setd4/Slk/Phf8/Huwe1/Kdm5c",35
"GO:0015662","P-type ion transporter activity","12/2017","30/28407",4.11237441953765e-07,1.23263012206668e-05,8.16779074462187e-06,"Atp1a4/Atp5f1e/Atp1a1/Atp2a2/Atp1a3/Atp13a1/Atp1b3/Atp2c1/Atp2b1/Atp2a3/Atp13a4/Atp6v0c",12
"GO:0031267","small GTPase binding","46/2017","297/28407",4.90252800712493e-07,1.43178958977315e-05,9.48748334982072e-06,"Rims1/Fmnl2/Rapgef4/Nckap1/Pex5l/Dock7/Rims3/Rilpl1/Dgki/Adcyap1r1/Rab11fip5/Rbsn/Raf1/Ppp6r1/Kctd13/Dock1/Tnpo2/Nutf2/Myo5a/Dock3/Mical1/Xpot/Rnf41/Kif3a/Gria1/Llgl1/Arhgap44/Sgsm2/Kpnb1/Nsf/Cdc42ep4/Gga3/Dock4/Daam1/Bicd2/Farp1/Cyrib/Dvl3/Sod1/Daam2/Pot1b/Nutf2-ps2/Ric1/Wdr44/Atp6ap1/Gdi1",46
"GO:0005200","structural constituent of cytoskeleton","19/2017","73/28407",5.32678740816236e-07,1.51680271447423e-05,1.00508067675063e-05,"Tubb4b/Ank2/Epb41/Actb/Tubb3/Ank3/Camk2b/Actr2/Sptbn1/Tubg1/Actg1/Tubb2a/Nefl/Tuba1b/Tuba1a/Tuba1c/Myom1/Ina/Add3",19
"GO:0033218","amide binding","62/2017","457/28407",7.12082759230252e-07,1.97820064088599e-05,1.31081730004645e-05,"Dbi/Gpr37l1/Fcgr2b/Sec61a2/Gad2/Acbd5/Srp14/Fkbp1a/Gss/Pex5l/Gria2/Npr2/Lrp8/Scp2/Dlgap3/Kpna6/Fbxo2/Clstn1/Cep104/Cptp/Cabp1/Rplp0/Scarb1/Gpr37/Adcyap1r1/Clstn3/Atp1a3/Mag/Grin2d/Igf1r/Apbb1/Calr/Tnpo2/Map1lc3b/Tubb3/Hspa8/Nktr/Thop1/Apba3/Ppia/Pex13/Gria1/Pitpna/Cltc/Kpnb1/Ramp2/Nfkbia/Ryr2/Epdr1/Pik3r1/Pnpla3/Pfdn5/Ap2m1/H2-DMa/H2-D1/Hsp90ab1/Trem2/Csnk1a1/Rps6kb2/Apba1/Pank1/Gprasp2",62
"GO:0046982","protein heterodimerization activity","47/2017","312/28407",8.35603371968007e-07,2.26607676350371e-05,1.50157297669439e-05,"Dgkd/Atf2/Mef2d/Atp1a1/Sri/Supt7l/Ywhah/Hip1r/Syt5/Sae1/Pafah1b3/Cebpa/Mef2a/Arnt2/Tenm4/Abcg4/Hexa/Gtf2a2/Micu1/Fbxo7/Syt1/Erbb3/Xbp1/Ppp2ca/H2bc27/H2ac25/Fxr2/Ywhae/Supt4a/P4hb/Npas3/Zbtb1/Pik3r1/Slc7a8/Adcy8/Tuba1a/App/Ppp2r1a/Abcg1/Epas1/Taf7/Tcf4/Chuk/Tfe3/Fmr1/Taf9b/Smc1a",47
"GO:0099186","structural constituent of postsynapse","11/2017","27/28407",1.01104786230102e-06,2.67810119804852e-05,1.77459318793105e-05,"Actb/Shank1/Dlg2/Shank2/Camk2b/Actg1/Nefl/Ctnnd2/Shank3/Dlg1/Ina",11
"GO:0032182","ubiquitin-like protein binding","25/2017","121/28407",1.10479404263776e-06,2.85991003310093e-05,1.89506537935711e-05,"Marchf7/Nsfl1c/Trp53inp2/Dcun1d1/Fbxw7/Map3k7/Trim32/Dcun1d4/Usp5/Nup62/Uevld/Bub3/Amfr/Sprtn/Nedd4/Fbxo7/Gga3/Hgs/Habp4/Vps28/Tdg-ps/Rnf168/Usp25/Dhx16/Otub1",25
"GO:0050811","GABA receptor binding","9/2017","18/28407",1.21572077741321e-06,3.0771243677192e-05,2.03899835650355e-05,"Trak2/Gabrg1/Lhfpl4/Gabarapl1/Shisa7/Clptm1/Trak1/Ppp2ca/Akap5",9
