	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Gm19214	0	0	0	0	0	0	0	0	0
4732440D04Rik	0	1	1	1	2	0	1	0	0
Rb1cc1	17	41	15	11	34	7	2	2	10
Alkal1	0	0	0	0	0	0	0	0	0
Gm2147	0	0	0	0	0	0	1	1	0
Gm7417	0	0	0	0	0	0	0	0	0
Gm19026	0	2	2	2	3	3	1	0	0
St18	4	5	7	5	12	5	1	0	1
Gm42492	1	0	1	0	1	0	0	0	0
Gm7449	0	0	0	0	1	0	0	0	0
Gm37108	3	5	3	5	3	4	4	1	1
Gm37275	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0
Gm57122	0	0	0	1	0	0	0	0	0
Pcmtd1	21	32	17	14	28	6	6	3	6
Gm26983	0	0	1	2	0	0	1	0	0
Gm38372	0	0	1	0	2	0	0	1	0
Gm9826	1	0	1	1	1	0	1	0	0
Nras-ps2	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0
Gm26901	0	1	1	0	1	0	0	0	0
Gm18984	0	0	0	0	0	0	0	0	0
Gm30414	0	0	0	0	0	0	0	0	0
Gm37791	0	0	0	0	0	0	0	0	0
Gm7470	0	0	0	0	0	0	0	0	0
Rps2-ps2	1	1	1	0	1	0	1	0	0
Gm38216	0	0	0	0	0	0	0	0	0
Sntg1	1	6	3	5	14	1	1	0	1
Gm38024	0	0	0	0	0	0	0	0	0
Gm16284	0	0	0	0	0	0	0	0	0
Gm38259	0	0	0	0	0	0	0	0	0
Gm54704	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0
Gm15452	0	0	0	0	0	0	0	0	0
Gm36964	5	2	6	4	4	6	4	3	4
Gm54706	0	2	1	1	0	0	0	1	0
Gm6152	0	0	0	0	0	0	0	0	1
Gm7445	0	0	0	0	0	0	1	0	1
Gm7493	0	0	0	1	1	0	3	0	1
Gm37629	0	0	0	0	0	0	0	0	0
Gm38008	0	0	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0
Gm6187	0	0	2	0	0	1	0	0	0
Gm18299	0	0	0	0	0	0	0	0	0
Gm7512	0	0	0	0	0	0	0	0	1
Gm24765	0	0	0	0	0	0	0	0	0
Gm18300	0	0	0	0	0	0	0	0	0
Rrs1	3	13	5	6	8	2	2	2	1
Adhfe1	9	12	13	7	16	1	2	2	2
2610203C22Rik	0	0	0	0	0	0	0	1	0
Gm6161	2	4	3	6	2	1	4	6	5
Vxn	18	89	27	41	68	19	10	11	19
Gm29520	0	0	0	0	0	0	0	0	0
Mybl1	0	1	0	1	2	0	0	0	0
Vcpip1	3	19	12	11	14	8	5	1	6
1700034P13Rik	0	0	0	0	0	0	0	0	0
Sgk3	3	2	1	2	5	0	0	0	1
Gm6195	0	0	1	0	0	0	0	0	0
Gm54812	0	0	0	0	0	0	0	0	0
Snhg6	5	13	8	8	7	0	2	1	2
Mcmdc2	1	1	1	0	0	0	0	0	0
Snord87	0	0	0	0	0	0	0	0	0
Tcf24	0	0	0	0	0	0	0	0	0
E330040D14Rik	0	0	0	0	0	0	0	0	0
Ppp1r42	0	0	0	0	0	0	0	0	0
Gm15818	0	0	0	0	0	0	0	0	0
Gm57177	0	0	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0	0
Cops5	14	21	9	15	27	5	4	5	3
Cspp1	8	12	4	7	12	0	5	2	2
1700047N06Rik	0	0	0	0	0	0	0	0	0
Arfgef1	9	31	16	15	39	4	8	7	10
Gm54899	0	0	0	0	0	0	0	0	0
Gm37569	0	0	0	0	0	0	0	0	0
Cpa6	0	0	0	0	1	0	0	0	2
Gm38005	0	0	0	0	0	0	0	0	0
Gm15604	3	1	4	3	1	3	3	1	4
Gm25253	0	0	0	0	0	0	0	0	0
Gm15603	0	0	0	0	0	0	0	0	0
Gm37133	0	0	0	0	0	0	0	0	0
Gm5522	0	0	0	0	0	0	0	0	0
Gm28659	0	0	0	1	1	1	1	0	0
Gm54912	0	0	0	0	0	0	0	0	0
Prex2	14	48	17	23	38	9	4	3	5
Gm24173	0	0	0	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0	0	0	0
Gm37410	0	0	0	0	0	0	0	0	0
A830018L16Rik	5	20	5	10	23	2	3	2	6
Gm38178	0	0	0	0	0	0	0	0	0
Gm29273	0	0	0	0	0	0	0	0	0
Gm38069	0	0	0	0	0	0	0	0	0
Gm7560	2	0	3	0	2	0	1	0	1
Gm22633	0	0	0	0	0	0	0	1	0
Mir6341	0	0	0	0	0	0	0	0	0
Gm2383	1	1	5	0	2	3	1	2	0
Gm6216	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0
Sulf1	12	4	18	2	29	1	0	2	6
Slco5a1	1	1	0	0	2	0	0	1	0
Gm37162	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0	0	0	0
Ncoa2	5	28	18	17	33	8	7	9	5
Gm38376	0	0	0	0	0	0	0	0	0
Gm37409	0	0	0	0	0	0	0	0	0
Gm55160	0	0	0	0	0	0	0	0	0
Gm38223	0	0	0	0	0	0	0	0	0
Gm37702	0	0	0	1	0	0	0	0	0
Gm23169	0	0	0	0	0	0	0	0	0
Gm38120	0	0	0	0	0	0	0	0	0
Gm38380	0	0	1	0	0	0	0	0	0
Gm29570	0	0	0	0	0	0	0	0	0
Gm7593	0	0	0	0	0	0	1	0	0
Tram1	7	11	6	6	13	2	4	1	1
Gm57152	0	0	0	0	0	0	0	0	0
Lactb2	1	10	4	5	8	0	1	0	2
Gm38319	0	0	0	0	0	0	0	0	0
Xkr9	0	0	0	0	0	0	0	0	0
Gm26273	0	0	0	0	0	0	0	0	0
Gm5523	5	6	3	6	3	0	3	1	2
Gm36947	0	0	0	0	0	0	0	0	0
Gm55173	0	0	0	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0
Eya1	3	9	4	3	7	0	1	0	4
Gm55247	0	0	0	0	0	0	0	0	0
Gm37444	0	0	0	0	0	0	0	0	0
Gm9947	0	0	0	0	1	0	0	0	1
Msc	1	0	0	1	1	0	0	1	0
Gm37412	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	1	5	5	3	4	2	3	1	7
Rpl5-ps1	5	12	11	12	12	7	10	9	4
Trpa1	0	0	0	0	1	0	0	0	0
Gm26345	0	0	0	0	0	0	0	0	0
Gm10566	9	12	14	7	11	15	16	6	14
Kcnb2	2	12	1	4	2	0	1	1	1
Gm38116	0	0	0	0	0	0	0	0	0
Gm37138	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0
Gm6060	4	9	4	6	1	6	6	3	7
Gm28669	0	0	0	0	0	0	0	0	0
Terf1	2	8	0	3	4	0	1	2	2
Gm37509	0	0	0	0	0	0	0	0	0
Sbspon	1	0	0	0	0	0	0	0	0
Gm55274	0	0	0	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0	1	0	0
4930444P10Rik	0	0	0	0	1	0	0	0	0
Rpl7	60	121	75	76	138	25	20	26	19
Rdh10	5	4	4	4	8	0	1	2	0
Gm38249	0	0	0	0	0	0	0	0	0
Gm28095	0	0	0	0	0	0	0	0	0
Stau2	17	63	23	26	35	11	6	18	9
Gm7568	0	0	0	0	0	0	0	0	0
Ube2w	4	16	5	7	23	4	4	2	3
Gm38342	0	0	0	0	0	0	0	0	0
Eloc	14	57	23	26	34	7	4	4	7
D030040B21Rik	1	0	0	0	0	0	0	0	0
Idi1-ps5	0	0	0	0	0	0	0	0	0
Tmem70	7	12	9	5	9	3	5	5	1
Ly96	0	0	0	1	0	0	0	0	0
Gm29649	0	0	0	0	0	0	0	0	0
Gm5828	1	0	0	2	2	3	1	2	2
Gm28376	0	0	0	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0	0	0	0
Jph1	4	7	8	11	14	0	3	1	4
Gm28783	0	0	0	0	0	0	0	0	0
Gdap1	11	23	11	22	36	4	5	4	6
Gm28784	1	0	0	0	0	0	0	1	0
Gm28785	0	0	0	0	0	0	0	0	0
Gm5251	0	0	0	0	0	0	0	0	0
Rbm6-ps1	3	0	1	1	0	1	2	2	2
Gm6075	2	1	1	0	1	1	2	1	5
Gm25166	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	1	0
Gm28154	0	0	0	0	0	0	0	0	0
Gm16070	0	0	0	0	0	0	0	0	0
Crispld1	1	2	0	1	2	1	0	0	2
Gm28153	0	0	0	0	0	0	0	0	0
Gm7690	0	0	0	1	0	0	0	1	0
Gm18775	0	0	0	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0	0	0	0
Gm28756	1	0	0	0	0	0	0	0	0
Gm28755	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0
Gm17837	0	0	2	0	1	0	0	0	0
Gm5252	0	0	0	0	0	0	0	1	0
Gm24075	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0
Gm10075	0	0	1	0	5	0	1	0	1
Tfap2b	0	0	0	0	0	0	0	0	0
Gm28340	0	0	0	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0	0	0	0
Gm4849	0	1	0	0	1	0	0	1	0
Gm55451	0	0	0	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0	0	0	0
Pkhd1	0	0	0	0	0	0	0	0	0
Gm37315	0	0	0	0	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0
Gm15795	1	0	1	3	1	1	0	1	0
Gm24162	0	0	0	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0
Il17f	0	0	1	0	0	0	0	0	0
Mcm3	2	1	2	1	4	0	0	1	0
Gm20587	0	0	0	0	0	0	0	0	0
Gm28065	0	0	0	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0	0	0	0
6720483E21Rik	0	2	1	0	0	0	0	0	0
Paqr8	52	120	63	66	117	16	16	18	13
Gm24171	0	0	0	0	0	0	0	0	0
Gm28064	0	0	0	0	0	0	0	0	0
Efhc1	2	1	1	0	4	0	0	0	0
Tram2	0	0	1	1	0	0	0	0	0
Gm28287	0	0	0	0	0	0	0	0	0
Gm2693	0	0	0	0	0	0	0	0	0
Tmem14a	7	16	5	1	11	1	0	0	5
Gm38224	0	0	0	0	0	0	0	0	0
Gsta3	0	1	2	0	0	0	0	1	0
Gm28836	0	0	0	0	0	0	0	0	0
Gm7094	0	0	0	1	0	0	0	0	0
Gm4956	0	0	0	0	0	0	0	0	0
Gm21909	0	0	0	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0
Gm16329	0	0	0	0	0	0	0	0	0
Gm16327	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0
Gm2709	0	0	0	0	0	0	0	0	0
Gm16533	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0	0
Gm16328	0	0	0	0	0	0	0	0	0
Kcnq5	9	16	6	12	25	5	5	1	5
Gm36949	0	0	0	0	0	0	0	0	0
Gm7658	0	2	1	0	0	2	0	0	1
Gm38243	0	0	0	0	0	0	0	0	0
Gm5696	0	0	1	0	0	0	0	0	0
Gm28239	0	0	0	0	0	0	0	0	0
Rims1	43	163	72	77	105	22	11	18	18
Gm26866	0	0	0	0	0	0	0	0	0
Gm7761	0	0	0	0	0	0	0	0	0
Gm29506	0	0	0	0	0	0	0	0	0
Ppp1r14bl	0	0	0	0	0	0	0	0	0
Gm24176	0	0	0	0	0	0	0	0	0
Gm6420	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0
Gm27028	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0
Gm29107	0	0	0	0	0	0	0	0	0
Gm20954	0	0	0	0	0	0	0	0	0
Ogfrl1	33	44	20	21	52	8	15	10	4
Gm7784	0	0	0	0	1	0	0	0	0
Gm28822	0	0	0	0	0	0	0	0	0
B3gat2	1	5	1	1	4	0	2	3	0
Smap1	2	8	2	7	16	4	1	3	2
Sdhaf4	1	4	6	3	4	0	2	1	2
Gm26524	0	0	0	0	0	0	0	0	0
Fam135a	29	53	29	29	35	15	22	10	16
Gm37580	0	1	0	0	0	0	0	0	0
Gm26607	0	0	0	0	0	0	0	0	0
Col9a1	0	0	0	0	1	1	0	0	0
Col19a1	22	58	26	39	38	3	16	13	11
Gm26418	0	0	0	1	0	0	0	0	0
Tubb4b-ps2	132	216	178	156	194	122	178	89	209
Gm28439	105	270	169	149	161	76	112	105	111
Gm10222	42	74	44	46	50	21	31	21	25
Gm28438	27	73	34	39	40	12	23	12	25
Gm28437	261	664	435	357	411	245	393	246	302
Gm10925	300	770	415	350	397	235	403	251	309
Gm28661	384	834	497	418	539	299	440	311	339
Gm29216	364	810	530	475	590	419	590	410	469
Lmbrd1	34	84	46	48	56	15	33	24	25
Gm28594	0	0	0	0	0	0	0	0	0
Gm28237	0	0	0	0	0	0	0	0	0
Gm9443	0	0	0	0	0	0	0	1	1
Gm29414	0	0	0	0	0	0	0	0	0
Adgrb3	77	160	115	125	142	89	95	62	109
Gm15702	0	0	0	0	2	1	1	0	0
Gm20172	0	0	0	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0	0	0	0
Gm37543	0	0	0	0	0	0	0	0	0
Gm37331	0	0	0	0	0	0	0	0	0
Gm37211	0	0	0	0	0	0	0	0	0
Gm37862	0	0	0	0	0	0	0	0	0
Gm38286	0	0	0	0	0	0	0	0	0
Gm37880	0	0	0	1	0	0	1	0	0
Gm25294	0	0	0	0	0	0	0	0	0
Gm37011	0	0	0	0	0	0	0	0	0
Gm29214	0	0	0	0	0	0	0	0	0
Gm37051	0	0	0	0	0	0	0	0	0
Gm38260	0	0	0	0	0	0	0	0	0
Gm37628	0	0	0	0	0	0	0	0	0
8030445P17Rik	0	0	0	0	0	0	0	0	0
Gm38198	0	0	0	0	0	0	0	0	0
Gm37077	0	0	0	0	0	0	0	0	0
Gm37895	0	0	0	0	0	0	0	0	0
Gm36952	0	0	0	0	0	0	0	0	0
Gm37602	0	0	0	0	0	0	0	0	0
2900022M07Rik	0	1	0	0	0	0	0	0	0
2900002M20Rik	0	0	0	0	0	0	0	0	0
Gm9884	0	1	0	1	0	0	0	0	0
Gm18443	0	0	0	0	0	0	0	0	0
Gm19123	0	0	0	0	0	0	0	0	0
Gm24064	0	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0	0
n-R5s209	0	0	0	0	0	0	0	0	0
Gm19641	0	0	0	0	0	0	0	0	0
Gm5524	0	0	0	0	0	0	0	0	0
Gm18776	0	0	0	0	0	0	0	0	0
Gm19028	0	0	1	1	0	0	0	0	0
Gm38089	0	0	0	0	0	0	0	0	0
Gm7846	0	1	0	0	1	0	0	0	0
Gm597	0	0	0	0	0	0	0	0	0
Gm5697	0	0	0	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0	0	0	0
Gm18033	0	0	0	0	0	0	0	0	0
Gm55767	0	0	0	0	0	0	0	0	0
Gm55769	0	0	0	0	0	0	0	0	0
Gm55770	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0
Gm5525	4	6	3	7	1	1	5	3	2
Gm53035	0	0	0	0	0	0	0	0	0
Gm7858	0	1	0	0	0	0	0	0	0
Gm55771	0	0	0	0	0	0	0	0	0
Gm55772	0	0	0	0	0	0	0	0	0
Gm9898	0	0	0	0	0	0	0	0	0
Gm6473	3	3	1	3	4	0	3	0	5
Gm2914	0	0	0	0	0	0	0	0	0
Phf3	15	27	19	8	29	4	9	9	10
Gm37522	0	0	0	0	0	0	0	0	0
Gm37906	0	0	0	0	0	0	1	0	0
Ptp4a1	4	7	1	6	7	3	2	2	4
Gm5698	0	0	0	0	0	0	0	0	0
Gm9458	0	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0	0
Gm28644	0	0	0	0	0	0	0	0	0
Gm55778	0	0	0	0	0	0	0	0	0
Gm29128	0	0	0	0	0	0	0	0	0
Gm7893	0	0	0	0	0	0	0	0	1
Lgsn	0	0	0	0	0	0	0	0	0
Dnaaf6	0	0	0	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	0	0
Gm28645	0	0	0	0	0	0	0	0	0
Gm6489	0	0	0	0	0	0	0	0	0
Eef1a1-ps2	0	0	0	0	0	0	0	0	0
Gm19680	0	0	1	0	0	0	0	0	1
Gm23032	0	0	0	0	0	0	0	0	0
Gm7910	0	0	0	0	0	0	0	0	0
Khdrbs2	0	4	2	3	1	1	1	0	0
Gm25814	0	0	0	0	0	0	0	0	0
Gm37999	0	0	0	0	0	0	0	0	0
Gm37110	1	0	0	0	0	0	0	0	0
Gm37911	0	0	0	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0	0	0	0
Gm37792	0	0	0	0	0	0	0	0	0
Semp2l1	0	0	0	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0	0	0	0
Gm37426	0	0	0	0	0	0	0	0	0
Gm55794	0	0	0	0	0	0	0	0	0
Gm37151	0	0	0	0	0	0	0	0	0
Gm28624	0	0	0	0	0	0	0	0	0
Gm37724	0	0	0	0	0	0	0	0	0
Gm7114	2	1	3	2	2	1	1	0	1
Gm4785	0	0	1	1	0	0	0	1	0
Gm24901	0	0	0	0	0	0	0	0	0
Gm37591	0	0	0	0	0	0	0	0	0
Gm2987	0	0	0	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0	0	0	0
Gm18799	0	0	0	0	0	0	0	0	0
Gm7933	0	0	0	1	0	0	0	0	1
Gm23453	0	0	0	0	0	0	0	0	0
Prim2	1	1	2	2	2	0	0	0	2
Gm29228	0	2	0	1	1	1	0	1	1
Gm37618	0	0	0	0	0	0	0	0	0
Gm17813	0	0	0	0	0	0	0	0	0
1700001G17Rik	0	0	0	0	0	0	0	0	0
Gm38173	0	0	0	0	0	0	0	0	0
Gm57180	0	0	0	0	0	0	0	0	0
Rab23	7	13	7	5	9	1	4	5	4
Bag2	1	2	2	0	3	0	2	2	0
Gm37905	0	0	0	0	0	0	0	0	0
Zfp451	5	14	12	13	17	2	3	3	2
Gm15455	3	0	0	2	0	0	1	1	2
Bend6	22	54	14	18	43	9	5	4	8
Gm37067	0	2	0	0	0	0	0	0	0
Dst	95	185	114	115	182	51	31	42	43
Gm37354	0	0	0	0	0	0	0	0	0
Gm28631	0	0	0	0	0	0	0	0	0
Gm23792	0	0	0	0	0	0	0	0	0
Gm38157	0	1	1	0	0	1	1	0	2
Mir6896	0	0	0	0	0	0	0	0	0
Gm26788	0	0	0	0	0	0	0	1	0
A930005N03Rik	0	0	0	0	0	0	0	0	0
Gm37958	0	0	0	0	0	0	0	0	0
Gm37385	3	5	1	3	2	1	0	2	2
Gm5266	0	0	0	0	0	0	0	0	0
Gm3052	0	0	0	0	0	0	0	0	0
ENSMUSG00000121838	0	1	0	0	1	0	0	0	0
Gm37233	0	0	1	2	3	0	1	0	1
Mir5103	0	0	0	0	0	0	0	0	0
Ccdc115	5	4	2	4	9	1	2	2	1
Gm28306	0	0	0	0	0	0	0	0	0
Imp4	8	12	9	12	6	3	2	3	4
Ptpn18	0	0	0	1	2	1	0	0	0
Gm28417	1	4	1	5	6	3	1	3	2
4930568A12Rik	0	0	0	0	0	0	0	0	0
Prss39	0	0	0	0	0	0	0	0	0
Gm28416	0	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0	0
Gm28419	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0
1700101I19Rik	0	0	0	0	0	0	0	0	0
Amer3	11	11	10	18	21	12	7	5	12
Gm28418	0	0	0	0	0	0	0	0	0
Gm36984	0	0	0	0	0	0	0	0	0
Gm29730	0	0	0	0	0	0	0	0	0
AA619741	0	0	0	0	0	0	0	0	0
Arhgef4	62	112	100	73	135	24	28	27	25
Gm37224	0	0	0	0	0	0	0	0	0
Gm37845	0	0	0	0	0	0	0	0	0
Gm55978	0	0	0	0	0	0	0	0	0
Gm38336	0	0	1	1	1	0	0	0	0
Fam168b	71	134	71	73	125	31	33	21	23
Gm37127	1	0	0	0	0	0	0	0	0
Plekhb2	51	131	74	75	125	28	17	17	18
Gm19430	0	0	0	0	0	0	0	0	0
Gm37670	1	1	0	1	1	0	1	1	0
Gm8009	0	1	0	0	1	0	2	0	1
Gm38027	0	0	0	0	0	0	0	0	0
Gm25096	0	0	0	0	0	0	0	0	0
Gm37068	0	0	0	0	0	0	0	0	0
Gm25634	0	0	0	0	0	0	0	0	0
Gm28415	0	0	0	0	0	0	0	0	0
1110002O04Rik	0	0	0	0	0	0	0	0	0
Gm8022	0	0	0	0	0	0	0	0	0
Gm37146	0	0	0	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0	0	0	0
4930535G08Rik	0	0	0	0	0	0	0	0	0
Gm38049	0	0	0	0	0	0	0	0	0
Hs6st1	13	16	11	16	31	13	3	3	1
Gm37335	0	0	0	0	0	0	0	0	0
Gm33280	0	0	1	0	0	0	0	0	1
Uggt1	9	24	14	8	18	9	3	7	5
Mir6897	0	0	0	0	0	0	0	0	0
Neurl3	0	0	1	0	1	0	0	0	0
Arid5a	5	3	4	3	3	4	0	1	1
4930403P22Rik	0	0	0	0	1	0	0	0	0
Kansl3	27	50	36	40	56	15	6	16	14
Mir6898	0	0	0	0	0	0	0	0	0
Fer1l5	2	4	2	1	10	0	4	6	2
Lman2l	5	20	22	14	23	9	6	9	7
Cnnm4	4	6	2	2	4	1	1	0	2
Gm37909	0	0	0	0	0	0	0	0	0
Gm56056	0	0	0	0	0	0	0	0	0
Cnnm3	10	18	15	13	31	7	2	2	2
Gm38033	0	0	0	0	0	0	0	0	0
Ankrd23	0	0	0	0	1	0	0	0	0
Gm42417	0	0	0	0	0	0	0	0	0
Ankrd39	5	4	1	0	9	0	1	1	1
Sema4c	2	8	2	4	10	0	2	2	1
D430040D24Rik	0	1	1	1	1	0	0	0	0
Fam178b	0	0	0	0	0	0	0	0	0
Gm6428	2	2	2	4	0	4	3	0	0
Gm56095	0	0	0	0	0	0	0	0	0
Cox5b	84	169	106	93	164	24	38	36	15
Actr1b	59	126	80	81	150	30	26	20	37
4933424G06Rik	1	0	0	0	0	0	0	0	0
Gm33533	0	1	0	0	1	1	0	0	0
Zap70	2	1	3	1	4	0	1	1	0
ENSMUSG00000121718	0	0	0	0	0	0	0	0	0
Gm18828	0	0	0	0	0	0	0	0	0
Tmem131	27	45	20	29	44	13	10	18	11
Gm37506	0	0	0	0	0	0	0	0	0
Gm38115	0	0	0	0	2	0	0	0	0
F830112A20Rik	0	0	1	0	1	0	0	0	0
Rpl12-ps1	2	4	7	6	3	2	3	4	4
n-R5s210	0	0	0	0	0	0	0	0	0
Vwa3b	2	5	4	2	6	1	1	2	1
Gm37020	0	0	0	1	0	0	0	0	0
Cnga3	0	0	1	0	0	0	0	0	0
1700074A21Rik	0	0	0	0	0	0	0	0	0
Inpp4a	13	35	22	22	39	10	9	12	5
4930439A04Rik	0	0	0	0	0	0	0	0	0
Gm37135	0	0	0	0	0	0	0	0	0
Coa5	8	44	22	23	47	8	5	10	7
Unc50	3	8	5	5	9	0	0	2	3
Mgat4a	3	14	7	10	15	6	3	4	2
4930594C11Rik	0	0	0	0	0	0	0	0	0
Gm43213	0	0	0	0	0	0	0	0	0
Cracdl	67	122	103	131	204	51	59	35	41
4930556I23Rik	0	1	0	1	0	1	1	0	0
4930470B04Rik	0	0	0	1	0	0	0	0	0
Gm19863	0	0	1	0	0	0	0	0	0
Tsga10	2	5	6	1	6	2	1	1	1
Gm26805	0	0	1	1	1	0	0	1	0
Lipt1	1	0	1	1	3	1	0	3	1
Mitd1	2	3	1	3	2	1	0	2	1
Mrpl30	10	35	11	11	22	3	6	4	3
Lyg2	0	0	0	0	0	0	0	0	0
Gm15457	0	0	0	0	0	0	0	0	0
