	JvRad_Rhipp_204	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Gm26273	0	0	0	0	0	0	0	0	0	0
Gm5523	3	5	6	3	6	3	0	3	1	2
Gm36947	0	0	0	0	0	0	0	0	0	0
Gm55173	0	0	0	0	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0	0
Eya1	1370	3	9	4	3	7	0	1	0	4
Gm55247	0	0	0	0	0	0	0	0	0	0
Gm37444	0	0	0	0	0	0	0	0	0	0
Gm9947	28	0	0	0	0	1	0	0	0	1
Msc	48	1	0	0	1	1	0	0	1	0
Gm37412	46	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	0	1	5	5	3	4	2	3	1	7
Rpl5-ps1	14	5	12	11	12	12	7	10	9	4
Trpa1	30	0	0	0	0	1	0	0	0	0
Gm26345	0	0	0	0	0	0	0	0	0	0
Gm10566	2	9	12	14	7	11	15	16	6	14
Kcnb2	1034	2	12	1	4	2	0	1	1	1
Gm38116	0	0	0	0	0	0	0	0	0	0
Gm37138	2	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0
Gm6060	0	4	9	4	6	1	6	6	3	7
Gm28669	0	0	0	0	0	0	0	0	0	0
Terf1	473	2	8	0	3	4	0	1	2	2
Gm37509	24	0	0	0	0	0	0	0	0	0
Sbspon	13	1	0	0	0	0	0	0	0	0
Gm55274	0	0	0	0	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0	0	1	0	0
4930444P10Rik	23	0	0	0	0	1	0	0	0	0
Rpl7	15650	60	121	75	76	138	25	20	26	19
Rdh10	717	5	4	4	4	8	0	1	2	0
Gm38249	8	0	0	0	0	0	0	0	0	0
Gm28095	1	0	0	0	0	0	0	0	0	0
Stau2	9233	17	63	23	26	35	11	6	18	9
Gm7568	2	0	0	0	0	0	0	0	0	0
Ube2w	3723	4	16	5	7	23	4	4	2	3
Gm38342	28	0	0	0	0	0	0	0	0	0
Eloc	7831	14	57	23	26	34	7	4	4	7
D030040B21Rik	0	1	0	0	0	0	0	0	0	0
Idi1-ps5	0	0	0	0	0	0	0	0	0	0
Tmem70	1828	7	12	9	5	9	3	5	5	1
Ly96	79	0	0	0	1	0	0	0	0	0
Gm29649	0	0	0	0	0	0	0	0	0	0
Gm5828	0	1	0	0	2	2	3	1	2	2
Gm28376	0	0	0	0	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0	0	0	0	0
Jph1	1623	4	7	8	11	14	0	3	1	4
Gm28783	0	0	0	0	0	0	0	0	0	0
Gdap1	6367	11	23	11	22	36	4	5	4	6
Gm28784	37	1	0	0	0	0	0	0	1	0
Gm28785	0	0	0	0	0	0	0	0	0	0
Gm5251	0	0	0	0	0	0	0	0	0	0
Rbm6-ps1	8	3	0	1	1	0	1	2	2	2
Gm6075	0	2	1	1	0	1	1	2	1	5
Gm25166	0	0	0	0	0	0	0	0	0	0
Pi15	56	0	0	0	0	0	0	0	1	0
Gm28154	26	0	0	0	0	0	0	0	0	0
Gm16070	18	0	0	0	0	0	0	0	0	0
Crispld1	364	1	2	0	1	2	1	0	0	2
Gm28153	10	0	0	0	0	0	0	0	0	0
Gm7690	0	0	0	0	1	0	0	0	1	0
Gm18775	0	0	0	0	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0	0	0	0	0
Gm28756	51	1	0	0	0	0	0	0	0	0
Gm28755	0	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0
Gm17837	0	0	0	2	0	1	0	0	0	0
Gm5252	0	0	0	0	0	0	0	0	1	0
Gm24075	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	0	0
Gm15825	11	0	0	0	0	0	0	0	0	0
Tfap2d	2	0	0	0	0	0	0	0	0	0
Gm10075	0	0	0	1	0	5	0	1	0	1
Tfap2b	18	0	0	0	0	0	0	0	0	0
Gm28340	0	0	0	0	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0	0	0	0	0
Gm4849	4	0	1	0	0	1	0	0	1	0
Gm55451	0	0	0	0	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0	0	0	0	0
Pkhd1	4	0	0	0	0	0	0	0	0	0
Gm37315	0	0	0	0	0	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0
Gm15795	0	1	0	1	3	1	1	0	1	0
Gm24162	0	0	0	0	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	0	1	0	0	0	0	0	0
Mcm3	168	2	1	2	1	4	0	0	1	0
Gm20587	0	0	0	0	0	0	0	0	0	0
Gm28065	2	0	0	0	0	0	0	0	0	0
Gm24723	0	0	0	0	0	0	0	0	0	0
6720483E21Rik	45	0	2	1	0	0	0	0	0	0
Paqr8	21458	52	120	63	66	117	16	16	18	13
Gm24171	0	0	0	0	0	0	0	0	0	0
Gm28064	47	0	0	0	0	0	0	0	0	0
Efhc1	76	2	1	1	0	4	0	0	0	0
Tram2	136	0	0	1	1	0	0	0	0	0
Gm28287	0	0	0	0	0	0	0	0	0	0
Gm2693	22	0	0	0	0	0	0	0	0	0
Tmem14a	1214	7	16	5	1	11	1	0	0	5
Gm38224	6	0	0	0	0	0	0	0	0	0
Gsta3	135	0	1	2	0	0	0	0	1	0
Gm28836	4	0	0	0	0	0	0	0	0	0
Gm7094	2	0	0	0	1	0	0	0	0	0
Gm4956	0	0	0	0	0	0	0	0	0	0
Gm21909	0	0	0	0	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0
Gm16329	0	0	0	0	0	0	0	0	0	0
Gm16327	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0
Gm2709	0	0	0	0	0	0	0	0	0	0
Gm16533	0	0	0	0	0	0	0	0	0	0
Khdc1b	2	0	0	0	0	0	0	0	0	0
Gm16328	0	0	0	0	0	0	0	0	0	0
Kcnq5	3367	9	16	6	12	25	5	5	1	5
Gm36949	0	0	0	0	0	0	0	0	0	0
Gm7658	0	0	2	1	0	0	2	0	0	1
Gm38243	0	0	0	0	0	0	0	0	0	0
Gm5696	0	0	0	1	0	0	0	0	0	0
Gm28239	0	0	0	0	0	0	0	0	0	0
Rims1	18571	43	163	72	77	105	22	11	18	18
Gm26866	0	0	0	0	0	0	0	0	0	0
Gm7761	0	0	0	0	0	0	0	0	0	0
Gm29506	2	0	0	0	0	0	0	0	0	0
Ppp1r14bl	0	0	0	0	0	0	0	0	0	0
Gm24176	0	0	0	0	0	0	0	0	0	0
Gm6420	2	0	0	0	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0	0	0	0	0
Gm27028	24	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0
Gm29107	0	0	0	0	0	0	0	0	0	0
Gm20954	0	0	0	0	0	0	0	0	0	0
Ogfrl1	7151	33	44	20	21	52	8	15	10	4
Gm7784	0	0	0	0	0	1	0	0	0	0
Gm28822	0	0	0	0	0	0	0	0	0	0
B3gat2	657	1	5	1	1	4	0	2	3	0
Smap1	1471	2	8	2	7	16	4	1	3	2
Sdhaf4	946	1	4	6	3	4	0	2	1	2
Gm26524	3	0	0	0	0	0	0	0	0	0
Fam135a	1877	29	53	29	29	35	15	22	10	16
Gm37580	26	0	1	0	0	0	0	0	0	0
Gm26607	0	0	0	0	0	0	0	0	0	0
Col9a1	68	0	0	0	0	1	1	0	0	0
Col19a1	1195	22	58	26	39	38	3	16	13	11
Gm26418	0	0	0	0	1	0	0	0	0	0
Tubb4b-ps2	0	132	216	178	156	194	122	178	89	209
Gm28439	93	105	270	169	149	161	76	112	105	111
Gm10222	20	42	74	44	46	50	21	31	21	25
Gm28438	20	27	73	34	39	40	12	23	12	25
Gm28437	156	261	664	435	357	411	245	393	246	302
Gm10925	242	300	770	415	350	397	235	403	251	309
Gm28661	214	384	834	497	418	539	299	440	311	339
Gm29216	216	364	810	530	475	590	419	590	410	469
Lmbrd1	9552	34	84	46	48	56	15	33	24	25
Gm28594	0	0	0	0	0	0	0	0	0	0
Gm28237	0	0	0	0	0	0	0	0	0	0
Gm9443	0	0	0	0	0	0	0	0	1	1
Gm29414	0	0	0	0	0	0	0	0	0	0
Adgrb3	5000	77	160	115	125	142	89	95	62	109
Gm15702	0	0	0	0	0	2	1	1	0	0
Gm20172	0	0	0	0	0	0	0	0	0	0
Gm22260	0	0	0	0	0	0	0	0	0	0
Gm37543	0	0	0	0	0	0	0	0	0	0
Gm37331	0	0	0	0	0	0	0	0	0	0
Gm37211	0	0	0	0	0	0	0	0	0	0
Gm37862	2	0	0	0	0	0	0	0	0	0
Gm38286	4	0	0	0	0	0	0	0	0	0
Gm37880	6	0	0	0	1	0	0	1	0	0
Gm25294	2	0	0	0	0	0	0	0	0	0
Gm37011	8	0	0	0	0	0	0	0	0	0
Gm29214	0	0	0	0	0	0	0	0	0	0
Gm37051	0	0	0	0	0	0	0	0	0	0
Gm38260	0	0	0	0	0	0	0	0	0	0
Gm37628	2	0	0	0	0	0	0	0	0	0
8030445P17Rik	0	0	0	0	0	0	0	0	0	0
Gm38198	8	0	0	0	0	0	0	0	0	0
Gm37077	2	0	0	0	0	0	0	0	0	0
Gm37895	0	0	0	0	0	0	0	0	0	0
Gm36952	4	0	0	0	0	0	0	0	0	0
Gm37602	2	0	0	0	0	0	0	0	0	0
2900022M07Rik	6	0	1	0	0	0	0	0	0	0
2900002M20Rik	0	0	0	0	0	0	0	0	0	0
Gm9884	104	0	1	0	1	0	0	0	0	0
Gm18443	0	0	0	0	0	0	0	0	0	0
Gm19123	0	0	0	0	0	0	0	0	0	0
Gm24064	0	0	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0	0	0
n-R5s209	0	0	0	0	0	0	0	0	0	0
Gm19641	0	0	0	0	0	0	0	0	0	0
Gm5524	0	0	0	0	0	0	0	0	0	0
Gm18776	0	0	0	0	0	0	0	0	0	0
Gm19028	0	0	0	1	1	0	0	0	0	0
Gm38089	0	0	0	0	0	0	0	0	0	0
Gm7846	36	0	1	0	0	1	0	0	0	0
Gm597	0	0	0	0	0	0	0	0	0	0
Gm5697	0	0	0	0	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0	0	0	0	0
Gm18033	0	0	0	0	0	0	0	0	0	0
Gm55767	0	0	0	0	0	0	0	0	0	0
Gm55769	0	0	0	0	0	0	0	0	0	0
Gm55770	0	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0	0
Gm5525	6	4	6	3	7	1	1	5	3	2
Gm53035	0	0	0	0	0	0	0	0	0	0
Gm7858	0	0	1	0	0	0	0	0	0	0
Gm55771	0	0	0	0	0	0	0	0	0	0
Gm55772	0	0	0	0	0	0	0	0	0	0
Gm9898	3	0	0	0	0	0	0	0	0	0
Gm6473	2	3	3	1	3	4	0	3	0	5
Gm2914	0	0	0	0	0	0	0	0	0	0
Phf3	4923	15	27	19	8	29	4	9	9	10
Gm37522	0	0	0	0	0	0	0	0	0	0
Gm37906	2	0	0	0	0	0	0	1	0	0
Ptp4a1	1690	4	7	1	6	7	3	2	2	4
Gm5698	0	0	0	0	0	0	0	0	0	0
Gm9458	0	0	0	0	0	0	0	0	0	0
4931428L18Rik	4	0	0	0	0	0	0	0	0	0
Gm28644	0	0	0	0	0	0	0	0	0	0
Gm55778	0	0	0	0	0	0	0	0	0	0
Gm29128	0	0	0	0	0	0	0	0	0	0
Gm7893	0	0	0	0	0	0	0	0	0	1
Lgsn	0	0	0	0	0	0	0	0	0	0
Dnaaf6	0	0	0	0	0	0	0	0	0	0
Gm26145	0	0	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	0	0	0
Gm28645	0	0	0	0	0	0	0	0	0	0
Gm6489	0	0	0	0	0	0	0	0	0	0
Eef1a1-ps2	0	0	0	0	0	0	0	0	0	0
Gm19680	0	0	0	1	0	0	0	0	0	1
Gm23032	0	0	0	0	0	0	0	0	0	0
Gm7910	0	0	0	0	0	0	0	0	0	0
Khdrbs2	319	0	4	2	3	1	1	1	0	0
Gm25814	0	0	0	0	0	0	0	0	0	0
Gm37999	20	0	0	0	0	0	0	0	0	0
Gm37110	0	1	0	0	0	0	0	0	0	0
Gm37911	0	0	0	0	0	0	0	0	0	0
Gm9839	24	0	0	0	0	0	0	0	0	0
Gm37792	12	0	0	0	0	0	0	0	0	0
Semp2l1	16	0	0	0	0	0	0	0	0	0
Gm24732	0	0	0	0	0	0	0	0	0	0
Gm37426	32	0	0	0	0	0	0	0	0	0
Gm55794	0	0	0	0	0	0	0	0	0	0
Gm37151	0	0	0	0	0	0	0	0	0	0
Gm28624	0	0	0	0	0	0	0	0	0	0
Gm37724	0	0	0	0	0	0	0	0	0	0
Gm7114	0	2	1	3	2	2	1	1	0	1
Gm4785	0	0	0	1	1	0	0	0	1	0
Gm24901	0	0	0	0	0	0	0	0	0	0
Gm37591	0	0	0	0	0	0	0	0	0	0
Gm2987	0	0	0	0	0	0	0	0	0	0
Gm25792	0	0	0	0	0	0	0	0	0	0
Gm18799	0	0	0	0	0	0	0	0	0	0
Gm7933	0	0	0	0	1	0	0	0	0	1
Gm23453	0	0	0	0	0	0	0	0	0	0
Prim2	341	1	1	2	2	2	0	0	0	2
Gm29228	0	0	2	0	1	1	1	0	1	1
Gm37618	2	0	0	0	0	0	0	0	0	0
Gm17813	0	0	0	0	0	0	0	0	0	0
1700001G17Rik	10	0	0	0	0	0	0	0	0	0
Gm38173	0	0	0	0	0	0	0	0	0	0
Gm57180	26	0	0	0	0	0	0	0	0	0
Rab23	2099	7	13	7	5	9	1	4	5	4
Bag2	484	1	2	2	0	3	0	2	2	0
Gm37905	0	0	0	0	0	0	0	0	0	0
Zfp451	2627	5	14	12	13	17	2	3	3	2
Gm15455	2	3	0	0	2	0	0	1	1	2
Bend6	6824	22	54	14	18	43	9	5	4	8
Gm37067	16	0	2	0	0	0	0	0	0	0
Dst	20103	95	185	114	115	182	51	31	42	43
Gm37354	0	0	0	0	0	0	0	0	0	0
Gm28631	0	0	0	0	0	0	0	0	0	0
Gm23792	0	0	0	0	0	0	0	0	0	0
Gm38157	6	0	1	1	0	0	1	1	0	2
Mir6896	0	0	0	0	0	0	0	0	0	0
Gm26788	8	0	0	0	0	0	0	0	1	0
A930005N03Rik	0	0	0	0	0	0	0	0	0	0
Gm37958	0	0	0	0	0	0	0	0	0	0
Gm37385	0	3	5	1	3	2	1	0	2	2
Gm5266	0	0	0	0	0	0	0	0	0	0
Gm3052	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000121838	112	0	1	0	0	1	0	0	0	0
Gm37233	213	0	0	1	2	3	0	1	0	1
Mir5103	0	0	0	0	0	0	0	0	0	0
Ccdc115	1001	5	4	2	4	9	1	2	2	1
Gm28306	1	0	0	0	0	0	0	0	0	0
Imp4	1626	8	12	9	12	6	3	2	3	4
Ptpn18	75	0	0	0	1	2	1	0	0	0
Gm28417	9	1	4	1	5	6	3	1	3	2
4930568A12Rik	3	0	0	0	0	0	0	0	0	0
Prss39	0	0	0	0	0	0	0	0	0	0
Gm28416	0	0	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0	0	0
Gm28419	0	0	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0	0	0
1700101I19Rik	0	0	0	0	0	0	0	0	0	0
Amer3	2046	11	11	10	18	21	12	7	5	12
Gm28418	0	0	0	0	0	0	0	0	0	0
Gm36984	0	0	0	0	0	0	0	0	0	0
Gm29730	0	0	0	0	0	0	0	0	0	0
AA619741	0	0	0	0	0	0	0	0	0	0
Arhgef4	15153	62	112	100	73	135	24	28	27	25
Gm37224	0	0	0	0	0	0	0	0	0	0
Gm37845	0	0	0	0	0	0	0	0	0	0
Gm55978	0	0	0	0	0	0	0	0	0	0
Gm38336	245	0	0	1	1	1	0	0	0	0
Fam168b	20232	71	134	71	73	125	31	33	21	23
Gm37127	63	1	0	0	0	0	0	0	0	0
Plekhb2	15602	51	131	74	75	125	28	17	17	18
Gm19430	0	0	0	0	0	0	0	0	0	0
Gm37670	0	1	1	0	1	1	0	1	1	0
Gm8009	0	0	1	0	0	1	0	2	0	1
Gm38027	0	0	0	0	0	0	0	0	0	0
Gm25096	0	0	0	0	0	0	0	0	0	0
Gm37068	0	0	0	0	0	0	0	0	0	0
Gm25634	0	0	0	0	0	0	0	0	0	0
Gm28415	0	0	0	0	0	0	0	0	0	0
1110002O04Rik	4	0	0	0	0	0	0	0	0	0
Gm8022	0	0	0	0	0	0	0	0	0	0
Gm37146	0	0	0	0	0	0	0	0	0	0
Gm33222	0	0	0	0	0	0	0	0	0	0
4930535G08Rik	0	0	0	0	0	0	0	0	0	0
Gm38049	0	0	0	0	0	0	0	0	0	0
Hs6st1	2695	13	16	11	16	31	13	3	3	1
Gm37335	0	0	0	0	0	0	0	0	0	0
Gm33280	44	0	0	1	0	0	0	0	0	1
Uggt1	3424	9	24	14	8	18	9	3	7	5
Mir6897	1	0	0	0	0	0	0	0	0	0
Neurl3	68	0	0	1	0	1	0	0	0	0
Arid5a	977	5	3	4	3	3	4	0	1	1
4930403P22Rik	6	0	0	0	0	1	0	0	0	0
Kansl3	7340	27	50	36	40	56	15	6	16	14
Mir6898	0	0	0	0	0	0	0	0	0	0
Fer1l5	988	2	4	2	1	10	0	4	6	2
Lman2l	3289	5	20	22	14	23	9	6	9	7
Cnnm4	895	4	6	2	2	4	1	1	0	2
Gm37909	0	0	0	0	0	0	0	0	0	0
Gm56056	0	0	0	0	0	0	0	0	0	0
Cnnm3	2247	10	18	15	13	31	7	2	2	2
