	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	description	symbol	entrez	ensembl
Axl	29.1441415796384	1.11622013263673	0.421758272741251	2.64658740510712	0.00813084898902276	0.485271648938476	AXL receptor tyrosine kinase	Axl	26362	ENSMUSG00000002602
Calr	192.897133537873	-0.768238156769185	0.234887819671572	-3.27065983175867	0.00107296890134979	0.220355937610482	calreticulin	Calr	12317	ENSMUSG00000003814
Hspa8	456.217258871646	-1.11386467766755	0.289243974036321	-3.85095206003385	0.000117659531381541	0.0836265119294301	heat shock protein 8	Hspa8	15481	ENSMUSG00000015656
Pcbp4	74.3944782952137	0.56695353639328	0.207139997450773	2.73705485840811	0.00619919543845967	0.451905452090791	poly(rC) binding protein 4	Pcbp4	59092	ENSMUSG00000023495
Rps12	128.279667210057	0.908791557477073	0.280348639301513	3.24164782729576	0.00118840781072464	0.225242893726009	ribosomal protein S12	Rps12	20042	ENSMUSG00000061983
Tspyl4	115.785695286098	-0.667982705638636	0.214629386825172	-3.11226116572167	0.00185660172540707	0.255838253763501	TSPY-like 4	Tspyl4	72480	ENSMUSG00000039485
Ptges3	29.0736790042983	-0.793590537023124	0.300937040045935	-2.63706500503225	0.00836268043776256	0.485271648938476	prostaglandin E synthase 3	Ptges3	56351	ENSMUSG00000071072
Rps27a	119.997146467376	0.732071921839804	0.216448982001839	3.38219156805082	0.000719099786940399	0.220355937610482	ribosomal protein S27A	Rps27a	78294	ENSMUSG00000020460
Tbc1d9b	152.532040717061	0.59064570622132	0.191765732252132	3.08003781115983	0.00206974317149508	0.255838253763501	TBC1 domain family, member 9B	Tbc1d9b	76795	ENSMUSG00000036644
Srebf1	29.0497850679513	1.03161703684336	0.375577811702549	2.74674649220327	0.00601896381931185	0.451905452090791	sterol regulatory element binding transcription factor 1	Srebf1	20787	ENSMUSG00000020538
Kif1c	124.966560592659	0.543493530465239	0.202543445105967	2.68334297454501	0.00728901957589237	0.485271648938476	kinesin family member 1C	Kif1c	16562	ENSMUSG00000020821
Crk	75.0172552164299	-0.793080211231321	0.296676842160981	-2.67321239317016	0.00751286670416937	0.485271648938476	v-crk avian sarcoma virus CT10 oncogene homolog	Crk	12928	ENSMUSG00000017776
Cltc	132.791151587083	-0.570129680054189	0.202496521163817	-2.81550357891314	0.00487008545004766	0.419565240438954	clathrin heavy chain	Cltc	67300	ENSMUSG00000047126
Ywhaq	37.1724719076247	-0.81548664851135	0.293743013857253	-2.77619078596246	0.00549999237715638	0.446756523664445	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	Ywhaq	22630	ENSMUSG00000076432
Rps29	186.883612714947	0.803052343074392	0.20162645165734	3.98287197177464	6.80874390093084e-05	0.0645241963678213	ribosomal protein S29	Rps29	20090	ENSMUSG00000034892
Hsp90aa1	217.473058404527	-0.847070404192459	0.272002970312207	-3.11419541933746	0.00184447281849535	0.255838253763501	heat shock protein 90, alpha (cytosolic), class A member 1	Hsp90aa1	15519	ENSMUSG00000021270
Zfr	115.801940812903	-0.633336069157207	0.224277077106588	-2.82390013873871	0.00474431641928412	0.419565240438954	zinc finger RNA binding protein	Zfr	22763	ENSMUSG00000022201
Ywhaz	221.461249711825	-0.794960402381197	0.268902674531464	-2.95631273941896	0.00311341224669946	0.340439654514098	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	Ywhaz	22631	ENSMUSG00000022285
Pfdn5	91.4006158580114	0.55633628099392	0.210733548209381	2.63999864151271	0.00829063595487777	0.485271648938476	prefoldin 5	Pfdn5	56612	ENSMUSG00000001289
Mapk1	166.186028442725	-0.470578840230744	0.174901688929132	-2.69053342544574	0.00713378881934601	0.485271648938476	mitogen-activated protein kinase 1	Mapk1	26413	ENSMUSG00000063358
Cct8	36.0531972088165	-0.755678448919448	0.276023785683426	-2.73772945707708	0.00618649458989419	0.451905452090791	chaperonin containing TCP1 subunit 8	Cct8	12469	ENSMUSG00000025613
Ttc3	289.661889503448	-0.506491916753477	0.149201605743607	-3.39468140593508	0.000687085044943885	0.220355937610482	tetratricopeptide repeat domain 3	Ttc3	22129	ENSMUSG00000040785
Rn18s-rs5	616.839837788466	-2.40512615843161	0.579392387501999	-4.15111798206585	3.30855146479235e-05	0.0470310590720232	18s RNA, related sequence 5	Rn18s-rs5	110183	ENSMUSG00000119584
Rpl36	39.5890242683988	0.991954564097081	0.321259152633596	3.08770833753779	0.00201706329874742	0.255838253763501	ribosomal protein L36	Rpl36	54217	ENSMUSG00000057863
Calm2	390.236695323449	-0.649864296763485	0.197625677268028	-3.28835961878633	0.00100773026680818	0.220355937610482	calmodulin 2	Calm2	12314	ENSMUSG00000036438
Rpl17	169.804898052317	0.877846890600799	0.315136419640395	2.78560913905958	0.005342725100775	0.446746101808921	ribosomal protein L17	Rpl17	319195	ENSMUSG00000062328
Pitpnm1	115.648522351278	0.549527072774901	0.187179466351026	2.93582989356507	0.00332656686512361	0.350275170279497	phosphatidylinositol transfer protein, membrane-associated 1	Pitpnm1	18739	ENSMUSG00000024851
Ina	98.2455155396193	-0.904073091148897	0.33770977310709	-2.6770711514535	0.00742688612575629	0.485271648938476	internexin neuronal intermediate filament protein, alpha	Ina	226180	ENSMUSG00000034336
Smc1a	34.7488837509394	-1.12660639337224	0.408023642598602	-2.76113017911697	0.00576017115520557	0.451905452090791	structural maintenance of chromosomes 1A	Smc1a	24061	ENSMUSG00000041133
mt-Tp	258.901092240194	1.14673945313931	0.423486292514528	2.70785494928381	0.00677196125607356	0.481317146275428	NA	mt-Tp	NA	NA
